index,id,fnid,parent_id,admin_0,admin_1,admin_2,admin_3,values,count
787.0,223583.0,ET2023A3050799,222750.0,Ethiopia,Somali,Dollo,Galhamur,13,202
787.0,223583.0,ET2023A3050799,222750.0,Ethiopia,Somali,Dollo,Galhamur,255,40197394
716.0,223512.0,ET2023A3050101,222744.0,Ethiopia,Somali,Sitti,Ayisha,1,25715
716.0,223512.0,ET2023A3050101,222744.0,Ethiopia,Somali,Sitti,Ayisha,2,75
716.0,223512.0,ET2023A3050101,222744.0,Ethiopia,Somali,Sitti,Ayisha,3,3
716.0,223512.0,ET2023A3050101,222744.0,Ethiopia,Somali,Sitti,Ayisha,5,257
716.0,223512.0,ET2023A3050101,222744.0,Ethiopia,Somali,Sitti,Ayisha,11,19514
716.0,223512.0,ET2023A3050101,222744.0,Ethiopia,Somali,Sitti,Ayisha,12,645
716.0,223512.0,ET2023A3050101,222744.0,Ethiopia,Somali,Sitti,Ayisha,13,702
716.0,223512.0,ET2023A3050101,222744.0,Ethiopia,Somali,Sitti,Ayisha,21,42
716.0,223512.0,ET2023A3050101,222744.0,Ethiopia,Somali,Sitti,Ayisha,255,78269908
691.0,223487.0,ET2023A3042104,222741.0,Ethiopia,Oromia,East Bale,Rayitu,1,22189
691.0,223487.0,ET2023A3042104,222741.0,Ethiopia,Oromia,East Bale,Rayitu,2,20533
691.0,223487.0,ET2023A3042104,222741.0,Ethiopia,Oromia,East Bale,Rayitu,3,4455
691.0,223487.0,ET2023A3042104,222741.0,Ethiopia,Oromia,East Bale,Rayitu,5,159
691.0,223487.0,ET2023A3042104,222741.0,Ethiopia,Oromia,East Bale,Rayitu,11,35569
691.0,223487.0,ET2023A3042104,222741.0,Ethiopia,Oromia,East Bale,Rayitu,12,1314
691.0,223487.0,ET2023A3042104,222741.0,Ethiopia,Oromia,East Bale,Rayitu,13,822
691.0,223487.0,ET2023A3042104,222741.0,Ethiopia,Oromia,East Bale,Rayitu,21,23
691.0,223487.0,ET2023A3042104,222741.0,Ethiopia,Oromia,East Bale,Rayitu,255,45859418
69.0,222865.0,ET2023A3010501,222699.0,Ethiopia,Tigray,West Tigray,Kafta Humera,1,7710
69.0,222865.0,ET2023A3010501,222699.0,Ethiopia,Tigray,West Tigray,Kafta Humera,2,35303
69.0,222865.0,ET2023A3010501,222699.0,Ethiopia,Tigray,West Tigray,Kafta Humera,3,48008
69.0,222865.0,ET2023A3010501,222699.0,Ethiopia,Tigray,West Tigray,Kafta Humera,4,2
69.0,222865.0,ET2023A3010501,222699.0,Ethiopia,Tigray,West Tigray,Kafta Humera,5,3806
69.0,222865.0,ET2023A3010501,222699.0,Ethiopia,Tigray,West Tigray,Kafta Humera,11,63117
69.0,222865.0,ET2023A3010501,222699.0,Ethiopia,Tigray,West Tigray,Kafta Humera,12,4391
69.0,222865.0,ET2023A3010501,222699.0,Ethiopia,Tigray,West Tigray,Kafta Humera,13,1189
69.0,222865.0,ET2023A3010501,222699.0,Ethiopia,Tigray,West Tigray,Kafta Humera,255,61352906
582.0,223378.0,ET2023A3041115,222732.0,Ethiopia,Oromia,Bale,Gura Damole,1,3382
582.0,223378.0,ET2023A3041115,222732.0,Ethiopia,Oromia,Bale,Gura Damole,2,14844
582.0,223378.0,ET2023A3041115,222732.0,Ethiopia,Oromia,Bale,Gura Damole,3,32776
582.0,223378.0,ET2023A3041115,222732.0,Ethiopia,Oromia,Bale,Gura Damole,4,1
582.0,223378.0,ET2023A3041115,222732.0,Ethiopia,Oromia,Bale,Gura Damole,11,40796
582.0,223378.0,ET2023A3041115,222732.0,Ethiopia,Oromia,Bale,Gura Damole,12,902
582.0,223378.0,ET2023A3041115,222732.0,Ethiopia,Oromia,Bale,Gura Damole,13,792
582.0,223378.0,ET2023A3041115,222732.0,Ethiopia,Oromia,Bale,Gura Damole,255,37501433
346.0,223142.0,ET2023A3031213,222719.0,Ethiopia,Amhara,West Gondar,Metema,1,206
346.0,223142.0,ET2023A3031213,222719.0,Ethiopia,Amhara,West Gondar,Metema,2,8479
346.0,223142.0,ET2023A3031213,222719.0,Ethiopia,Amhara,West Gondar,Metema,3,65825
346.0,223142.0,ET2023A3031213,222719.0,Ethiopia,Amhara,West Gondar,Metema,4,6
346.0,223142.0,ET2023A3031213,222719.0,Ethiopia,Amhara,West Gondar,Metema,5,1646
346.0,223142.0,ET2023A3031213,222719.0,Ethiopia,Amhara,West Gondar,Metema,11,59278
346.0,223142.0,ET2023A3031213,222719.0,Ethiopia,Amhara,West Gondar,Metema,12,1188
346.0,223142.0,ET2023A3031213,222719.0,Ethiopia,Amhara,West Gondar,Metema,13,2098
346.0,223142.0,ET2023A3031213,222719.0,Ethiopia,Amhara,West Gondar,Metema,21,66
346.0,223142.0,ET2023A3031213,222719.0,Ethiopia,Amhara,West Gondar,Metema,255,79021642
703.0,223499.0,ET2023A3042298,222742.0,Ethiopia,Oromia,East Borena,Wachile,1,3651
