admin_0,admin_1,admin_2,admin_3,night_time_mean,night_time_sd,night_time_sum
Ethiopia,Tigray,Northwest Tigray,Tahtay Koraro,3.2357105068710613e+38,7.353428852817596e+37,4.855863114766471e+43
Ethiopia,South Ethiopia,Alle,Alle,2.684292442587589e+38,1.3887935040692292e+38,2.5569496091112336e+43
Ethiopia,Oromia,Jimma,Chora (Jimma),3.372754930700524e+38,3.1845533751177003e+37,3.683318204719428e+43
Ethiopia,Benishangul Gumuz,Asosa,Ura,2.373528046503663e+38,1.5630296053583893e+38,4.776203017418391e+43
Ethiopia,Oromia,Jimma,Goma,2.9294391180056564e+38,1.1776037652771465e+38,3.6033858814940375e+43
Ethiopia,Oromia,Buno Bedele,Dedesa,3.2422193882392015e+38,7.216049168315912e+37,3.649766365340869e+43
Ethiopia,South West Ethiopia,Konta,Ameya Zuria,2.274239932979519e+38,1.6020829377327898e+38,3.576401491405602e+43
Ethiopia,Afar,Fanti,Gulina,3.3920323982051637e+38,1.9132081140907032e+37,2.8880103041558583e+43
Ethiopia,Sidama,Sidama,Loka Abaya,3.0286791325651936e+38,1.06450135575697e+38,2.9446332866365095e+43
Ethiopia,Amhara,North Shewa (AM),Mida Woremo,3.2698096235872216e+38,6.594921858911119e+37,2.195807954623763e+43
Ethiopia,Oromia,Horo Guduru,Guduru,3.141161539311402e+38,9.06599350113708e+37,3.596818432203914e+43
Ethiopia,Amhara,South Wollo,Kalu,2.9500979324183958e+38,1.155674980999738e+38,3.84849125577777e+43
Ethiopia,Tigray,West Tigray,Awra (TG),2.6989646734003477e+38,1.3782924280893963e+38,3.2645327207113905e+43
Ethiopia,Gambela,Nuer,Wantawo,1.7131140404998114e+38,1.7013714884907666e+38,1.9103791222633649e+43
Ethiopia,Somali,Sitti,Miesso,3.335845135396048e+38,4.72683128117986e+37,2.2404870267374017e+43
Ethiopia,Oromia,West Wellega,Begi,2.924497236466729e+38,1.182735700622238e+38,5.280501455136691e+43
Ethiopia,Oromia,Arsi,Merti,2.934151222580679e+38,1.1726701314303714e+38,2.6424965910561597e+43
Ethiopia,Oromia,Ilubabor,Alge Sachi,2.991056662932669e+38,1.1097827900276002e+38,2.2933328751703653e+43
Ethiopia,Tigray,Southeast Tigray,Wajirat,3.146075895187262e+38,8.987476536236336e+37,1.6032402761874287e+43
Ethiopia,Oromia,West Wellega,Gimbi,2.412889002843847e+38,1.5455102654512741e+38,2.691939616022738e+43
Ethiopia,Amhara,South Wollo,Ambasel,3.378028658620545e+38,2.894090033400679e+37,4.900235932768135e+43
Ethiopia,Oromia,North Shewa (OR),Sululta (North Shewa),2.4441495709632338e+38,1.5307326318431532e+38,4.168594859260634e+43
Ethiopia,Oromia,West Shewa,Ambo Zuria,3.2957553395943996e+38,5.940289139187101e+37,7.111152423582648e+43
