id,fnid,parent_id,admin_0,admin_1,admin_2,admin_3,decision_mean,decision_sd,decision_sum
223683,ET2023A3150208,222766,Ethiopia,Dire Dawa,Dire Dawa rural,Biyoawale,0.2806168267138068,0.03277442998830333,115.8947494328022
223433,ET2023A3041604,222737,Ethiopia,Oromia,Buno Bedele,Dega,0.26559596941584634,0.022396252383484135,111.55030715465546
223885,ET2023A3190203,222787,Ethiopia,Central Ethiopia,Hadiya,Lemmo,0.37804378416202516,0.03493095537348679,158.40034556388855
223471,ET2023A3041901,222740,Ethiopia,Oromia,Horo Guduru,Horo,0.28510991671965236,0.02080180160831013,119.74616502225399
223886,ET2023A3190204,222787,Ethiopia,Central Ethiopia,Hadiya,Shashogo,0.4449016321631311,0.028376221029881715,183.29947245121002
223366,ET2023A3041019,222731,Ethiopia,Oromia,East Hararge,Maya town,0.19913057440420695,0.05173412352494127,84.23223297297955
223412,ET2023A3041408,222735,Ethiopia,Oromia,Gujii,Dama,0.4511269690297174,0.044894489330202354,190.82670789957047
223820,ET2023A3181009,222776,Ethiopia,South Ethiopia,Gamo,Daramalo,0.34224110966795807,0.03144547057644641,146.82143604755402
222917,ET2023A3020306,222704,Ethiopia,Afar,Gabi,Arguba,0.3281970116288163,0.04132201175628417,141.124715000391
223795,ET2023A3180605,222775,Ethiopia,South Ethiopia,Wolayita,Sodo Zuria,0.3872212450864703,0.014352759345050616,166.50513538718224
223288,ET2023A3040703,222728,Ethiopia,Oromia,East Shewa,Adama,0.31750147601570744,0.029836061454863005,125.73058450222015
222832,ET2023A3010222,222696,Ethiopia,Tigray,Central Tigray,Tanqua Melashe,0.33030987901820075,0.03996088089667996,148.63944555819035
222825,ET2023A3010215,222696,Ethiopia,Tigray,Central Tigray,Ahsea,0.32227726658185324,0.02982025111974309,145.02476996183395
223023,ET2023A3030507,222712,Ethiopia,Amhara,North Shewa (AM),Antsokiya,0.17862936352076156,0.018335576358850778,79.49006676673889
223836,ET2023A3181302,222778,Ethiopia,South Ethiopia,Konso,Segen Zuria,0.38180288161165826,0.031017166603324556,169.13867655396461
223215,ET2023A3040319,222724,Ethiopia,Oromia,Ilubabor,Halu /Huka,0.28089496121655244,0.01950570082359186,123.87467789649963
223166,ET2023A3040104,222722,Ethiopia,Oromia,West Wellega,Lalo Asabi,0.2663912432061301,0.01280041348542304,119.87605944275856
223454,ET2023A3041712,222738,Ethiopia,Oromia,West Arsi,Shashemene,0.3983714287179695,0.030242775367611583,178.07202863693237
223038,ET2023A3030522,222712,Ethiopia,Amhara,North Shewa (AM),Menze Lalo Midir,0.2180133587762452,0.015834675750655787,99.41409160196781
223245,ET2023A3040505,222726,Ethiopia,Oromia,West Shewa,Cheliya,0.2935477192968195,0.01747779037329076,135.32549859583378
223212,ET2023A3040315,222724,Ethiopia,Oromia,Ilubabor,Bilo Nopha,0.2540197905439597,0.020183413950843866,118.88126197457314
223754,ET2023A3171704,222771,Ethiopia,South West Ethiopia,Dawro,Gena,0.38297961332511493,0.05463383155176316,178.46849980950356
223191,ET2023A3040206,222723,Ethiopia,Oromia,East Wellega,Wayu Tuka,0.30231722730856675,0.025429768649778358,141.48446238040924
223911,ET2023A3192008,222789,Ethiopia,Central Ethiopia,Silltie,Hulbareg,0.40188485528903584,0.03640840208575866,190.09153655171394
223323,ET2023A3040822,222729,Ethiopia,Oromia,Arsi,Diksis,0.29098458225832935,0.023839171110073908,137.63570740818977
222803,ET2023A3010109,222695,Ethiopia,Tigray,Northwest Tigray,Selekleka,0.2666436922649336,0.0244630219674112,128.25561597943306
223049,ET2023A3030601,222713,Ethiopia,Amhara,East Gojam,Bibugn,0.2235733173178427,0.04375323952923301,106.64447236061096
223828,ET2023A3181017,222776,Ethiopia,South Ethiopia,Gamo,Kucha Alpha,0.4034326417550881,0.028213203619928722,192.8408027589321
223336,ET2023A3040907,222730,Ethiopia,Oromia,West Hararge,Goba Koricha,0.3281392639046883,0.02769928715374388,158.16312520205975
222813,ET2023A3010203,222696,Ethiopia,Tigray,Central Tigray,Endaba Tsahma,0.3020935881982349,0.027711483125774608,147.1195774525404
223233,ET2023A3040416,222725,Ethiopia,Oromia,Jimma,Gumay,0.2598815238203745,0.021571339005681946,125.26289448142052
223692,ET2023A3160009,222767,Ethiopia,Sidama,Sidama,Aroresa,0.43099787825123403,0.036940976675225876,207.7409773170948
223851,ET2023A3181601,222780,Ethiopia,South Ethiopia,Basketo,Basketo SP Woreda,0.3515615216659657,0.023565072540022394,169.1010919213295
223640,ET2023A3120105,222759,Ethiopia,Gambela,Nuer,Makuey,0.5046808775668302,0.044882515584443415,244.2655447423458
223476,ET2023A3041906,222740,Ethiopia,Oromia,Horo Guduru,Jimma Genete,0.2807371302540734,0.018706100550340863,135.03455965220928
