id,fnid,parent_id,admin_0,admin_1,admin_2,admin_3,education_mean,education_sd,education_sum
222813,ET2023A3010203,222696,Ethiopia,Tigray,Central Tigray,Endaba Tsahma,0.5552110218536682,0.0847576373096055,270.38776764273643
223233,ET2023A3040416,222725,Ethiopia,Oromia,Jimma,Gumay,0.6986180305233635,0.08868499795752714,336.7338907122612
223692,ET2023A3160009,222767,Ethiopia,Sidama,Sidama,Aroresa,0.5856054224290294,0.07126148601636667,282.26181361079216
223851,ET2023A3181601,222780,Ethiopia,South Ethiopia,Basketo,Basketo SP Woreda,0.6695485344299903,0.1464072447634242,322.05284506082535
223640,ET2023A3120105,222759,Ethiopia,Gambela,Nuer,Makuey,0.6590085409520087,0.1814339909145982,318.96013382077217
223476,ET2023A3041906,222740,Ethiopia,Oromia,Horo Guduru,Jimma Genete,0.6607775203651302,0.06905384080856465,317.8339872956276
223468,ET2023A3041810,222739,Ethiopia,Oromia,Kelem,Jimma Horo,0.577104403246795,0.12715448956423298,286.2437840104103
223167,ET2023A3040105,222722,Ethiopia,Oromia,West Wellega,Kiltu Kara,0.4997153183430191,0.05567345098411008,245.8599366247654
223802,ET2023A3180612,222775,Ethiopia,South Ethiopia,Wolayita,Duguna Fango,0.5509380849947026,0.06672965661589964,270.510599732399
223401,ET2023A3041308,222734,Ethiopia,Oromia,South West Shewa,Tole,0.6929946069310351,0.07209306847314322,340.9533466100693
223217,ET2023A3040324,222724,Ethiopia,Oromia,Ilubabor,Dorani,0.5817877791866394,0.07254573441378263,292.6392529308796
223240,ET2023A3040500,222726,Ethiopia,Oromia,West Shewa,Illu Galan,0.6805034979581833,0.058404982595132576,340.25174897909164
223753,ET2023A3171703,222771,Ethiopia,South West Ethiopia,Dawro,Loma,0.5509477413612448,0.07522843106361014,273.2700797151774
223280,ET2023A3040617,222727,Ethiopia,Oromia,North Shewa (OR),Aleltu,0.620593132835532,0.06123075017836611,312.7789389491081
223406,ET2023A3041314,222734,Ethiopia,Oromia,South West Shewa,Sodo Daci,0.5611583496641925,0.044985824312633836,285.0684416294098
223405,ET2023A3041312,222734,Ethiopia,Oromia,South West Shewa,Goro (SW Shewa),0.7007131810741012,0.05429744672500933,356.66300916671753
223332,ET2023A3040903,222730,Ethiopia,Oromia,West Hararge,Tulo (OR),0.6143718659877777,0.08342700083177695,313.32965165376663
223734,ET2023A3170909,222769,Ethiopia,South West Ethiopia,Keffa,Chena,0.6464017313860712,0.06828254351240924,325.78647261857986
223527,ET2023A3050283,222745,Ethiopia,Somali,Fafan,Tuliguled,0.9081715680804907,0.03161000429867528,463.16749972105026
222877,ET2023A3010604,222700,Ethiopia,Tigray,Southeast Tigray,Degua Temben,0.531493708604213,0.0892026599950832,280.62867814302444
223402,ET2023A3041309,222734,Ethiopia,Oromia,South West Shewa,Becho (SW Shewa),0.6775546637926816,0.06899864862744806,353.0059798359871
223064,ET2023A3030616,222713,Ethiopia,Amhara,East Gojam,Senan,0.8358682366517874,0.044817959116214987,434.65148305892944
223249,ET2023A3040509,222726,Ethiopia,Oromia,West Shewa,Tikur Enchini,0.7330199748794467,0.05757137199689284,380.43736696243286
223260,ET2023A3040521,222726,Ethiopia,Oromia,West Shewa,Welmera,0.5833045358430277,0.0741421800836627,300.98514049500227
223116,ET2023A3031005,222717,Ethiopia,Amhara,Oromia,Dewa Harewa,0.6301893609478361,0.06842767227165515,330.8494144976139
223482,ET2023A3041912,222740,Ethiopia,Oromia,Horo Guduru,Horo Buluk,0.7106385538176102,0.06471956578703512,370.9533250927925
222989,ET2023A3030405,222711,Ethiopia,Amhara,South Wollo,Thehulederie,0.5185419503643579,0.09602497337380363,262.3822268843651
223094,ET2023A3030808,222715,Ethiopia,Amhara,Wag Himra,Tsagbeji,0.8399250705663422,0.06123087097717322,446.8401375412941
223809,ET2023A3180619,222775,Ethiopia,South Ethiopia,Wolayita,Hobicha Abaya,0.6059720545027196,0.08378359590845837,313.28755217790604
223213,ET2023A3040316,222724,Ethiopia,Oromia,Ilubabor,Hurumu,0.6686794327935953,0.16373836602503514,349.05066391825676
223258,ET2023A3040519,222726,Ethiopia,Oromia,West Shewa,Ifata,0.7467244646154848,0.06292098153138534,397.2574151754379
223355,ET2023A3041008,222731,Ethiopia,Oromia,East Hararge,Kersa (East Hararge),0.5097753671723056,0.07022688516819987,271.7102707028389
223892,ET2023A3190210,222787,Ethiopia,Central Ethiopia,Hadiya,Gibe,0.6016796178010934,0.060084403764044746,316.4834789633751
223314,ET2023A3040813,222729,Ethiopia,Oromia,Arsi,Tena,0.634936484040824,0.09678912949384472,341.5958284139633
223019,ET2023A3030503,222712,Ethiopia,Amhara,North Shewa (AM),Ensaro,0.6547685427897012,0.0744405837746524,350.95593893527985
223051,ET2023A3030603,222713,Ethiopia,Amhara,East Gojam,Goncha Siso Enebse,0.7498186437542398,0.03822788758123863,399.6533371210098
223253,ET2023A3040514,222726,Ethiopia,Oromia,West Shewa,Meta Robi,0.709793567880709,0.07155146222229379,379.02976524829865
223408,ET2023A3041402,222735,Ethiopia,Oromia,Gujii,Bore,0.6122313722094876,0.05433588348472477,323.87039589881897
222855,ET2023A3010405,222698,Ethiopia,Tigray,South Tigray,Endamehoni,0.6739031834023022,0.05964479450212163,360.5382031202316
223481,ET2023A3041911,222740,Ethiopia,Oromia,Horo Guduru,Choman Guduru,0.7694421800802339,0.07580749949508815,407.80435544252396
222914,ET2023A3020303,222704,Ethiopia,Afar,Gabi,Gewane,0.7832748963333228,0.07501287670464493,426.1015436053276
222904,ET2023A3020203,222703,Ethiopia,Afar,Kilbati,Abaala,0.8468898998724448,0.07489348408771963,470.02389442920685
222812,ET2023A3010202,222696,Ethiopia,Tigray,Central Tigray,Aheferom,0.4919408888967188,0.06907925921841211,273.0271933376789
222828,ET2023A3010218,222696,Ethiopia,Tigray,Central Tigray,Endafelasi,0.540733536799177,0.071739060412491,300.6478464603424
